Gender,Hours Studied,Previous Scores,Extracurricular Activities,Tuition,Sleep Hours,Sample Question Papers Practiced,Performance Index
Female,7,82,Yes,Yes,8,1,82
Female,4,51,No,Yes,4,7,37
Male,8,52,Yes,Yes,5,0,50
Female,5,75,No,Yes,4,1,68
Female,7,78,No,Yes,4,6,79
Male,3,73,No,Yes,9,3,59
Female,7,45,No,No,6,9,39
Male,8,77,Yes,Yes,8,9,77
Female,5,89,No,No,9,8,81
Male,4,91,No,Yes,8,8,76
Male,8,79,No,No,5,2,71
Female,8,47,Yes,Yes,7,2,46
Female,3,47,No,Yes,6,8,34
Female,6,79,Yes,No,5,9,72
Male,5,72,Yes,No,5,7,59
Male,2,73,No,No,8,0,51
Female,8,83,Yes,No,6,5,81
Female,6,54,No,Yes,8,6,50
Female,2,75,No,Yes,7,7,61
Male,5,96,No,No,8,1,85
Male,1,74,No,No,4,0,47
Female,6,85,No,No,8,3,80
Male,9,61,No,Yes,4,0,63
Female,1,62,No,No,5,1,37
Male,3,79,Yes,No,7,2,62
Female,7,84,Yes,Yes,9,3,82
Male,4,94,No,Yes,4,5,83
Male,9,90,No,Yes,7,7,93
Male,3,61,Yes,No,8,8,43
Male,5,44,No,No,9,3,29
Female,3,70,Yes,No,8,0,53
Male,7,52,Yes,No,5,4,43
Male,5,67,No,No,8,4,57
Female,9,97,No,Yes,4,8,100
Female,7,59,Yes,Yes,5,5,56
Male,2,72,Yes,Yes,7,4,58
Female,4,55,No,No,5,9,40
Female,9,68,No,No,7,9,67
Male,2,62,Yes,No,6,4,37
Female,9,63,Yes,No,4,7,62
Male,5,73,Yes,Yes,4,0,61
Female,2,46,No,Yes,7,4,29
Female,4,77,No,No,8,0,62
Male,7,76,No,Yes,9,6,70
Male,8,43,Yes,No,8,6,37
Male,3,73,Yes,Yes,6,9,55
Male,1,81,No,Yes,7,7,54
Female,4,61,Yes,Yes,6,6,46
Male,2,44,Yes,No,7,8,24
Male,8,89,Yes,Yes,6,7,88
Male,4,81,Yes,Yes,7,7,71
Male,2,62,Yes,Yes,4,2,40
Male,6,93,No,Yes,6,9,85
Female,6,54,No,No,6,3,43
Male,4,70,No,No,7,3,52
Male,6,98,No,No,5,0,85
Female,2,48,No,Yes,5,5,34
Male,2,82,Yes,No,4,1,59
Male,4,97,Yes,No,8,8,82
Female,8,92,Yes,Yes,8,0,96
Male,7,64,No,No,4,0,54
Female,9,64,Yes,Yes,8,9,72
Male,8,88,Yes,No,9,5,87
Female,5,60,Yes,No,9,0,50
Female,2,48,No,Yes,9,2,32
Female,5,94,Yes,No,9,9,87
Female,8,87,Yes,No,7,1,83
Female,9,77,No,No,5,8,78
Male,9,61,No,Yes,4,4,61
Female,1,82,Yes,No,7,5,62
Male,9,62,No,No,9,1,59
Male,7,88,Yes,No,4,7,83
Male,9,43,No,No,5,5,40
Female,8,68,Yes,Yes,8,7,70
Female,1,54,Yes,No,7,7,34
Male,8,40,No,No,5,0,35
Male,8,93,No,Yes,4,6,89
Female,3,69,No,No,6,1,50
Female,1,68,No,Yes,7,7,51
Female,8,59,Yes,No,4,1,57
Female,3,72,No,No,4,3,54
Female,3,80,Yes,No,5,1,62
Male,1,83,Yes,No,4,6,60
Male,5,75,Yes,No,7,4,61
Male,7,61,No,No,9,8,50
Female,9,52,Yes,No,7,4,53
Male,7,46,Yes,Yes,4,7,41
Female,9,47,No,No,5,1,48
Female,8,67,Yes,No,7,2,67
Male,2,84,Yes,Yes,6,5,69
Male,1,82,Yes,No,9,6,60
Male,7,48,No,No,8,9,46
Male,7,64,Yes,No,5,7,59
Female,8,95,Yes,No,5,2,93
Female,5,55,Yes,No,8,6,48
Male,3,49,No,Yes,8,7,32
Male,8,50,No,Yes,7,9,48
Female,6,70,No,No,4,5,61
Female,3,51,Yes,No,4,3,33
Male,1,70,Yes,No,6,5,48
Male,3,53,Yes,No,9,8,38
Female,5,90,Yes,Yes,4,2,83
Male,3,83,Yes,No,6,1,63
Male,1,71,No,Yes,6,4,50
Female,5,89,Yes,No,5,6,81
Female,7,92,Yes,No,5,2,88
Male,7,56,No,No,9,4,46
Female,9,74,No,Yes,7,3,76
Male,3,40,Yes,Yes,8,6,26
Male,7,68,No,Yes,8,1,66
Female,1,90,No,Yes,9,6,71
Male,4,43,No,Yes,6,1,28
Male,4,62,Yes,No,9,2,47
Female,5,67,No,Yes,8,4,58
Male,7,55,Yes,No,6,6,48
Male,7,51,No,Yes,8,5,48
Male,4,92,Yes,No,7,6,78
Female,7,60,Yes,Yes,5,5,60
Male,3,84,Yes,No,5,0,64
Female,6,56,No,No,6,4,49
Female,2,79,No,Yes,9,0,64
Female,9,52,No,No,8,6,55
Male,5,91,Yes,No,4,3,76
Female,6,97,No,No,7,4,91
Female,4,71,No,Yes,8,0,63
Female,7,76,Yes,No,4,7,73
Male,9,89,No,No,7,3,90
Female,7,54,Yes,No,7,2,49
Male,1,51,No,No,5,0,28
Female,1,88,Yes,Yes,6,3,69
Male,9,96,Yes,No,8,2,95
Male,9,54,No,No,7,7,56
Female,4,73,Yes,No,8,8,62
Female,9,45,No,Yes,7,4,50
Female,3,56,No,No,9,8,37
Male,7,87,No,Yes,5,0,82
Female,6,88,No,No,6,6,81
Male,8,96,Yes,No,4,6,93
Female,9,59,Yes,Yes,4,5,63
Female,5,48,Yes,No,9,3,38
Male,1,98,No,No,5,8,79
Female,3,44,No,Yes,7,2,28
Male,8,62,Yes,No,5,0,56
Male,6,72,Yes,Yes,6,1,66
Female,8,77,No,Yes,4,2,74
Male,9,95,No,No,8,1,93
Female,4,53,No,Yes,4,5,42
Male,1,56,Yes,No,6,6,31
Female,1,96,No,No,7,4,73
Male,4,58,Yes,Yes,5,4,45
Female,7,72,No,Yes,4,6,69
Male,2,40,Yes,Yes,4,5,19
Male,3,52,No,No,8,7,34
Female,1,85,Yes,No,5,8,64
Female,5,66,Yes,No,8,1,58
Male,1,45,Yes,No,8,1,18
Female,8,98,No,Yes,7,0,97
Male,1,45,Yes,Yes,4,6,22
Male,1,72,Yes,Yes,9,3,51
Male,2,69,No,No,5,8,49
Male,2,85,Yes,No,7,5,65
Female,6,74,Yes,Yes,9,6,73
Male,7,62,No,Yes,7,6,61
Female,5,49,Yes,No,7,7,37
Female,1,90,No,Yes,6,3,74
Female,1,58,Yes,Yes,6,2,38
Male,3,90,No,Yes,7,2,69
Female,2,67,Yes,Yes,6,9,52
Male,5,62,Yes,No,5,7,46
Female,6,43,Yes,Yes,4,2,34
Female,7,59,No,No,9,7,53
Male,4,58,Yes,Yes,5,1,44
Female,7,81,Yes,No,4,4,73
Female,8,66,No,No,6,4,66
Male,1,96,No,Yes,9,6,79
Female,6,73,No,Yes,5,4,73
Female,8,43,Yes,Yes,8,8,45
Female,5,95,Yes,Yes,7,2,87
Male,4,77,Yes,No,4,8,61
Male,2,46,No,Yes,4,0,26
Female,6,87,No,Yes,8,2,85
Female,6,46,Yes,No,8,3,37
Female,1,89,Yes,No,7,5,70
Female,9,91,No,Yes,6,9,98
Male,6,65,No,No,5,7,60
Female,3,65,No,Yes,5,6,54
Male,4,93,Yes,Yes,5,7,85
Male,4,58,No,Yes,6,5,49
Male,3,48,No,No,7,5,27
Female,3,59,No,Yes,5,5,43
Male,3,81,No,No,4,2,63
Male,4,84,Yes,Yes,4,9,71
Female,7,89,No,No,4,3,84
Male,4,55,Yes,Yes,8,5,43
Male,9,93,Yes,No,8,6,94
Female,1,56,No,Yes,6,2,36
Female,8,61,No,Yes,5,3,62
Female,7,52,Yes,No,8,5,45
Female,2,51,No,Yes,4,0,29
Male,8,49,Yes,No,8,6,45
Male,1,40,No,No,4,0,13
Male,9,71,Yes,Yes,5,9,76
Female,9,69,Yes,No,6,8,71
Male,2,47,Yes,Yes,7,9,30
Male,7,60,No,Yes,7,8,56
Male,3,61,Yes,No,4,8,43
Male,7,57,Yes,No,8,3,50
Female,9,41,No,Yes,8,1,42
Female,4,87,No,No,4,6,75
Female,1,83,Yes,Yes,5,3,63
Female,2,48,Yes,No,4,4,27
Male,1,42,No,Yes,5,0,15
Female,5,93,Yes,Yes,6,9,88
Female,5,65,No,Yes,6,5,60
Female,7,60,No,No,4,6,50
Male,9,69,No,No,6,2,63
Female,9,67,Yes,Yes,8,9,74
Female,3,75,No,No,5,1,58
Female,3,65,Yes,No,7,9,49
Female,3,73,Yes,Yes,7,6,59
Male,4,47,No,No,6,0,30
Male,8,49,No,Yes,5,1,41
Female,6,87,No,No,8,2,77
Male,8,94,No,No,7,3,87
Female,1,82,Yes,Yes,8,4,63
Male,8,89,Yes,No,8,3,85
Male,4,93,No,No,7,9,73
Male,1,53,Yes,No,7,2,26
Female,8,79,No,No,6,0,77
Female,4,94,Yes,No,5,6,82
Female,6,54,Yes,No,4,9,48
Female,8,56,Yes,No,5,5,55
Female,4,92,No,Yes,4,1,80
Female,3,57,Yes,No,7,1,38
Female,9,71,Yes,Yes,8,2,73
Female,3,77,Yes,Yes,5,7,62
Male,9,62,Yes,No,8,7,63
Male,2,85,No,No,5,9,65
Female,2,62,Yes,Yes,9,9,46
Male,2,74,No,Yes,5,9,56
Male,6,78,No,Yes,8,9,74
Female,3,54,Yes,Yes,9,7,43
Female,9,92,Yes,No,6,6,96
Female,4,63,No,No,7,1,49
Male,1,67,No,Yes,6,0,44
Female,4,55,No,Yes,6,5,44
Male,1,55,Yes,No,5,7,32
Male,5,79,Yes,Yes,7,0,70
Male,4,78,No,Yes,9,2,66
Female,8,45,No,Yes,5,0,46
Female,8,41,No,Yes,4,9,45
Female,7,93,Yes,Yes,5,8,97
Female,3,52,Yes,Yes,9,6,46
Male,1,83,No,No,8,7,66
Male,1,86,Yes,No,5,8,65
Male,3,98,No,No,4,2,72
Female,6,48,Yes,No,5,9,41
Female,7,73,No,No,9,1,65
Male,6,56,Yes,Yes,4,5,51
Male,6,66,Yes,No,7,4,56
Female,6,68,Yes,No,9,3,62
Male,3,76,Yes,No,5,5,57
Female,6,82,Yes,Yes,4,5,81
Female,8,61,Yes,No,9,2,57
Male,2,90,Yes,No,7,1,70
Male,5,63,No,No,8,8,49
Female,1,46,No,Yes,6,7,22
Male,1,73,No,Yes,4,3,50
Male,5,87,Yes,No,8,5,73
Male,3,51,Yes,Yes,7,2,32
Male,4,62,Yes,Yes,8,7,47
Female,3,54,No,No,5,2,35
Female,1,72,No,Yes,6,1,54
Male,1,96,No,Yes,4,6,71
Male,5,52,No,No,9,2,41
Female,6,62,No,Yes,7,8,57
Female,3,77,No,Yes,6,2,61
Male,9,71,Yes,No,7,7,73
Male,5,84,No,Yes,8,1,76
Male,8,89,Yes,Yes,7,8,91
Male,1,74,No,Yes,7,0,52
Female,5,40,No,Yes,8,2,30
Female,3,86,Yes,No,8,1,73
Female,1,97,Yes,No,6,6,76
Male,4,84,Yes,Yes,4,4,71
Male,5,44,No,Yes,8,7,35
Female,7,96,No,Yes,6,1,96
Female,1,52,Yes,Yes,7,7,30
Female,3,93,No,No,7,6,77
Male,2,44,Yes,No,9,4,22
Female,9,71,No,Yes,5,1,76
Female,6,90,No,Yes,8,9,91
Male,3,60,No,Yes,6,6,44
Female,8,63,Yes,No,9,9,60
Female,8,57,No,No,6,3,53
Male,2,60,Yes,Yes,4,3,35
Male,6,93,Yes,No,9,7,87
Female,7,49,Yes,No,6,5,43
